M|5|002|-0.010143635,0.022558853,0.004578577,-0.003245077,-0.027945988,0.042682897,-0.19402659,-0.009072782,0.012495569,-0.03561306,-0.008465831,-0.0057867575,0.006888218,-0.009816587,0.0023231693,-0.09048899,-0.0032350477,-0.011622588,0.005489581,0.010733433,-0.013677237,0.030284956,-0.19283952,0.013105929,0.042612728,0.010894507,-0.016987763,-0.19846569,-0.11543372,-1.1117194E-4,0.006471192,-0.022997208,0.16002621,-2.3906867E-4,-0.05403026,0.08836398,-0.21084829,-0.007789042,0.0033761668,-0.039347842,0.008308409,0.0037366909,-0.009547323,0.0074625085,0.003922252,0.0094386805,-0.2484547,0.1501907,-0.0093478225,0.063580945,-0.07632089,6.0599344E-4,-0.14182688,-0.002544189,-0.053444695,0.0068916306,-0.079199314,0.0026594498,-0.040474728,0.011361055,-0.06840435,-0.001135531,-0.04761664,0.12711585,-0.013232494,0.12201356,0.0018248894,-0.015966788,0.0021207128,-0.0010121609,-0.014908714,-0.063982286,-0.10114419,-0.0030105095,-0.014886339,-6.717824E-4,-9.7618916E-4,-0.0058807586,0.05549738,-0.19619687,0.004212019,-0.028794656,0.0018235882,0.016381133,0.17355278,0.0038867192,-3.8928867E-4,-0.019048283,-0.06190193,0.21710041,0.0068596127,-0.0037275362,-0.007456868,-0.01585421,-0.21162468,0.19704482,-0.21749122,0.18910123,-0.009431458,-0.0047949245,-0.0012173459,0.010153669,0.0057212273,7.458308E-4,-0.009392645,-0.0013703767,-0.07882022,0.0042963866,0.019356567,0.010103607,-0.09259157,0.006604393,-0.0027046413,-0.10771646,0.0014938182,-0.12964208,0.009506868,0.008833001,0.08595756,-0.04121421,0.08703095,0.0041118423,-0.14058605,-0.0014468344,-0.0022946913,0.0015968176,-0.0064775557,-0.0043184455,0.021224685,-0.15486439,0.008129778,0.015245892,-7.085491E-4,0.053700358,-0.13113765,0.005901684,-0.04324017,-0.09059714,-0.0027503155,-0.0068539768,0.012833754,0.0068993024,9.032808E-4,0.07729533,0.0036868376,0.18007942,-0.007836831,-0.010566769,0.009357095,0.0021066442,-0.025718324,0.13016105,-0.03145296,-0.02005305,6.953945E-4,0.009431683,-0.00506605,0.013932356,-0.13386503,0.002780484,-0.026256215,-0.0015353531,0.006813282,0.001753779,0.0060799834,0.004413606,-0.010052521,-0.056067605,-0.0037710574,-0.0015329897,-0.092445426,-0.07064015,7.9553033E-4,9.476951E-4,0.051722325,0.0023499501,0.07493989,-0.032770265,-0.0022320312,-0.0031567733,0.070345975,0.08716382,0.006853061,0.0025893755,0.14734326,0.03220141,-0.03973012,-0.01707693,0.16081426,0.0044642347,-0.015388392,-0.014291609
F|1|008|-0.010125452,0.012131896,-0.008760881,0.008928876,-0.018318519,0.14910638,-0.17863572,-0.19738422,-0.035119057,-0.046317454,-0.01222859,-0.0028843908,0.012802092,-0.027224643,0.002889831,-0.02355952,-0.019497985,-0.0137628345,-0.003283254,0.016890228,0.068138935,0.016376294,-0.28427142,0.013468021,-0.050171386,0.0012918886,-0.023252137,-0.07909167,-0.16365933,0.1684744,0.003918658,0.08900094,-0.07501323,-0.0015058685,0.07469307,0.10602227,-0.059052814,-0.0063071614,3.1179874E-4,-0.09659202,0.011752178,0.0042688814,0.0054889205,-0.009183554,-0.005017734,-0.0015822683,-0.31413782,0.09831508,-0.013712604,0.048305027,-0.046084847,0.0020651084,-0.04878382,-0.0018305421,-0.18975875,-7.931447E-4,-0.019516889,0.0031508647,-0.027487557,0.012561931,-0.041207585,0.12112239,-0.0710396,0.107696496,-0.029507399,0.2627855,0.0033089307,-0.0115201995,-0.00214597,-0.004127568,-0.010314239,0.012648322,-0.096626155,-0.012828677,-0.085499324,-0.017202184,-3.1192412E-5,-0.004745268,0.09389261,-0.11230167,-0.0011791895,-0.063955,-0.0043195714,0.111680396,-0.08169366,0.0036366356,-0.013579797,0.08078912,-0.06848566,0.25262597,0.023412537,0.0016238963,-0.0079458095,-0.030348437,-0.018074011,0.0899324,-0.11059766,-0.022204306,-0.0104241455,-0.0075246477,-4.9137776E-5,-0.0015800889,-7.870821E-4,5.295597E-4,-0.008962969,-8.6706824E-4,-0.114274375,-0.002637116,4.2440384E-4,-0.001128565,0.04254977,0.0054642796,-0.0015900972,-0.01866811,-0.0024345163,-0.08201318,0.013572207,-7.266491E-4,0.009598556,-0.11355495,-0.032155283,0.027871735,-0.05588499,4.4381167E-4,-0.0027838023,-0.009984795,0.004793479,-0.0042213215,0.021644698,-0.011659625,0.010068554,0.015710028,0.0013883712,7.8767765E-4,-0.084182575,0.0062160236,-0.010189693,-0.010696551,-0.0019497848,-0.004154376,0.008214023,0.011072322,-8.5184554E-4,-0.033164784,-0.021150513,0.03343541,-0.01424852,-0.011257088,0.003225055,0.0045734136,-0.025467787,0.26021558,-0.11144352,-0.029355176,0.0068136705,0.0036866695,-0.017347049,-0.0037987889,-0.06867766,0.002584129,-0.024547927,-0.0029280882,-0.00796604,0.0023478789,0.0037718848,0.00821788,-0.003289225,-0.07012554,-0.0016006901,-0.003386552,-0.051882606,0.05730858,-0.003050044,0.12598208,0.060081437,4.2290625E-4,0.08499189,-0.0068306606,-0.0046194363,0.0064505683,0.086225174,0.13969487,0.0025754326,4.2821938E-4,0.05277583,0.017218923,0.009227624,-0.020825969,0.26539418,0.10700657,-0.024923483,-0.015106908
M|2|016|-0.017441977,0.025688538,0.009992239,9.7619405E-4,-0.042472083,0.041288584,-0.10416355,-0.029158352,-0.08218638,-0.026713988,-0.0052084373,0.0035540566,0.013381194,0.0013962698,0.0029177452,-0.012611954,-0.0124923065,7.981774E-5,0.0010434373,0.013944065,-0.061536364,0.024138026,0.005874571,0.014274583,0.005311163,0.01368668,-0.028357971,-0.13900879,-0.17841545,0.21523568,0.008681698,0.22607878,-0.04214324,-0.008459008,0.018705301,0.24040204,-0.083153,-0.005864488,0.0052879723,-0.16928391,0.0074635567,0.00403979,4.426922E-4,0.0016610675,8.794755E-4,0.04580261,-0.011337174,0.20698519,-0.007681278,0.023552183,-0.0027850717,-0.0015841041,-0.046152387,-0.0026260228,-0.12722914,-0.0024845551,-0.020775126,0.0028163844,-0.041419365,0.0088303005,-0.04994866,0.036817346,-0.015007377,0.3662212,-0.014367914,0.15898685,0.0011921591,-0.026313396,0.010532046,-6.1068306E-4,-0.022010695,-0.17794786,0.013517804,1.4702546E-4,0.06877039,0.0053703743,0.0024705038,0.0017217455,0.08737365,-0.13674828,-0.0060435096,-0.002518683,-0.005371219,0.17095543,0.11070788,0.0016004958,-0.001623368,0.15735504,-0.031080049,0.26155847,0.031274535,-0.0044970014,-0.0071008992,-0.027347801,-0.058126304,0.033107426,-0.034436423,0.19643061,-0.0054934365,-0.026277622,0.0014724109,0.004100749,-0.0031858147,9.7422895E-4,0.0035332362,0.0064470517,-0.18621862,0.0044643437,-0.002939534,0.0132477125,0.035954736,0.012652206,0.0048073195,0.01612811,0.0052105472,-0.075882204,0.0131454235,8.0091E-4,0.11031844,0.07957893,0.1937227,-0.008526066,-0.13380003,-0.0014718253,0.0024062318,-0.0023963635,0.0039342595,-1.0990463E-5,0.008009613,-0.060053304,0.010102032,0.023811188,-0.0038900706,0.10930211,-0.07409107,-0.008144671,-0.08673035,-0.06688955,0.002139833,0.006651547,0.0043420587,-3.8197555E-4,-0.0062220264,-0.038478807,-0.02179932,0.022151673,-0.016936509,-0.013162414,0.005430463,-0.0037486805,-0.0236982,-0.06453102,0.04820692,-0.024754638,0.0032747241,-0.008047315,-0.0057745515,0.0015770022,-0.062237732,-5.891799E-4,-0.044817816,-3.610874E-4,-8.1297716E-5,0.0010413353,0.0022404676,0.012007756,-0.0057622143,0.22968434,-0.002447627,-3.7807444E-4,-0.020011974,0.0055918945,-0.0040097735,0.08713829,0.022510892,-9.019243E-4,0.057437327,-0.027691638,-0.010310446,0.0013546781,-0.02466491,0.06749971,0.0075818216,0.0033085535,0.035207976,0.040906057,0.0049030404,-0.0034592897,0.0572644,0.055114876,-0.036678046,-0.010646064
F|2|019|-0.0050965063,0.011150029,0.0028500678,-2.0778562E-4,-0.019578595,0.084601216,-0.06779095,-0.070651546,-0.04418052,-0.009757589,-0.0051441677,3.3766124E-4,0.004456388,-0.012380255,0.001238365,0.022291498,-0.0031960225,-3.7207745E-4,0.005464991,0.005920621,0.061472766,0.0010956908,-0.2748162,0.010330654,-0.13668661,0.009706282,-0.016493633,-0.080503516,-0.011830579,0.046980504,0.009862113,0.2441905,-0.04865435,-0.0018739916,0.1379615,0.11653026,-0.21479848,9.976529E-4,8.879814E-4,-0.14534464,0.008950145,0.0033636885,0.009095455,-0.006679653,-0.0011741035,5.686962E-4,-0.16458604,0.16407885,-0.007898654,0.039421376,-0.11793169,-0.003138966,-0.0670997,-0.0015068243,-0.19715181,0.008120839,-0.0645825,0.0024798785,-0.014844346,0.009048466,-0.07003523,0.018003624,0.0094295135,0.29621223,-0.007917556,0.19898148,-0.0010097201,-0.01808162,0.0033781836,-0.005388098,-0.019056669,-0.13670772,-0.1423599,-0.0017050589,-0.12418832,0.010359562,-0.0036210993,-2.6080126E-4,0.010425838,0.013182289,-0.0022246614,0.0013140657,9.920127E-5,0.14908616,0.05816198,0.0010605972,-0.0040788157,-0.012400301,0.0382189,0.36698878,0.039104305,0.006033126,-0.0055001206,-0.03238195,-0.08716983,0.022318752,-0.04248875,0.08326595,-0.008548929,-0.01855565,0.002227581,-8.694303E-4,-0.0012559068,-0.0012248944,-0.007822827,0.0031118973,-0.08211891,-9.8608434E-5,0.0021731404,0.003814166,-0.072396934,0.0030078199,-0.005580714,0.11525953,-9.395098E-4,-0.04046755,0.018126508,0.005305881,0.15467207,-0.10612345,-0.0011571541,0.016043527,0.025341045,-0.0011616525,-0.0016808653,-0.007981737,0.0038868638,-0.0058050924,0.0053976406,-0.0024462978,0.008425419,0.014756157,0.0034170111,0.064323,-0.07309606,0.0062446347,-0.016033923,0.033559635,0.0021353732,-0.003178652,0.004019105,0.0057481867,-0.0011782614,-0.052729174,0.005810925,-0.019819701,-8.097047E-4,-0.00531677,0.009934975,9.86294E-4,-0.018077666,0.12636316,-0.027177123,-0.02135812,0.00456003,0.0046311673,-0.004950127,0.015211057,0.11749368,0.005605694,-0.014889028,-0.0025222078,-0.0030776795,0.0010938948,0.0049443636,0.007538465,0.0023730507,-0.07192431,-0.0035474354,0.00486654,0.016707925,0.08431667,-0.0031294336,0.001143093,-0.015856752,-0.0013401604,-0.017434413,-0.013992652,-0.0031959128,0.003928647,0.07909008,0.17547427,0.0098749995,-0.003418211,-0.024427485,0.08251638,-0.08770965,-0.054011457,0.20761548,0.022684056,-0.019897776,-0.01091709
M|2|018|-0.0019264116,0.015010362,-9.888737E-4,0.0049841176,-0.026622161,0.04817783,-0.17134154,-0.12325071,-0.097187415,-0.18163502,-0.005015972,-0.0018126611,0.009450123,-0.015664266,-2.3781367E-4,-0.10665183,-0.027949609,6.0547078E-5,0.007884497,0.01289193,-0.025033904,-0.0064461664,-0.19712512,0.014504506,-0.17435944,0.013123179,-0.01488751,-0.057583846,-0.06634754,0.119359,0.007171391,0.103510335,0.17858772,-0.0050225765,0.01748575,0.17858167,-0.13945705,-0.008715378,0.0037196712,-0.09697892,0.005618364,0.0027337603,-0.0052279006,4.4376252E-4,0.0034658457,0.015782503,-0.17932281,0.15431035,-0.01018159,-0.016748102,-0.010937616,0.001017742,0.010719446,-0.0029163933,-0.105419435,-0.0019537718,-0.056888036,0.003267459,-0.014143702,0.008636583,-0.061437584,0.10622913,-0.10169593,0.31155014,-0.015104476,0.2883003,0.0025082564,-0.03178458,0.007042928,-0.0053381124,-0.01519841,-0.19483697,-0.15832159,-0.008485066,0.065416224,0.0046785967,-0.002060471,-0.002563012,0.033348743,-0.19032153,7.9807104E-4,0.047548335,4.880802E-4,0.047945693,0.11283208,-6.118583E-4,-0.011527447,-0.030821221,-0.046308108,0.15980202,0.06751139,-0.00328752,-0.0055950936,-0.020772023,-0.14074671,0.05295471,-0.11922977,0.12524538,-0.012196476,-0.004769859,0.0026201897,0.0013444006,-0.0036581932,-2.3150128E-4,-0.004598446,0.0022730676,-0.04899104,3.977067E-4,0.024158537,0.006929628,-0.058046095,0.007853368,-0.0012461991,0.046580356,-0.007082214,-0.10175433,0.023271684,0.0325341,0.12075441,-0.11905764,-0.031433504,0.027820168,-0.13967837,-0.0037577935,-9.187513E-4,0.001881903,0.003549766,-0.009524003,0.005952769,-0.08498272,0.00785072,0.016295077,0.001988071,0.069484435,-0.13558808,0.008453723,-0.04545328,0.0062883804,0.0093276445,-0.0049162097,0.010227532,0.0030583555,-4.6168914E-4,-0.07299808,0.043616466,0.08527643,-0.01285062,-0.004482298,0.008186319,0.010677735,-0.029998612,0.14509265,-0.02013052,-0.021387666,0.0012552541,0.010029212,-0.0077251066,0.014328696,-0.012670389,0.0030671377,-0.0181208,-0.0029924093,0.008592224,0.0010500414,0.0038223844,0.002932977,-0.00409911,0.042055152,-0.006098367,-0.00758267,-0.081894144,-0.028647665,1.784611E-4,0.10195492,0.040864017,-0.0018480311,0.044856243,0.0076071974,-0.003342086,9.707078E-4,0.08135953,0.14324759,0.008568431,1.3305723E-4,-0.0077236085,0.062366426,0.032529768,-0.032647494,0.013725654,0.11460422,-0.017777545,-0.016233724
M|2|015|-0.003232574,0.015795385,-0.004845176,-0.0055702585,-0.029621312,0.13734719,-0.10118314,-0.1943962,0.022550842,-0.22567038,0.007569902,-0.009352659,0.012706937,0.008890424,-0.0017235413,-0.051815376,-0.02708825,-0.010302298,-0.002687884,0.0011039287,-0.012227296,-0.027036266,-0.23270074,0.0139839845,-0.22728068,0.0067257867,-0.017061427,-0.036229234,-0.06801165,0.28842828,0.011813825,0.15002072,0.0851475,-0.0020439911,-0.0381682,0.08284552,0.029274955,0.0038257376,0.0058116703,0.049520113,0.0077616936,0.003397276,2.3210367E-4,0.0046814075,-0.0064573414,0.043362506,-0.21892057,0.07666648,-0.012414944,0.01958106,0.049001988,0.0018972951,-0.040108744,-0.00313919,-0.048818003,0.005521571,-0.0648799,0.0035213027,-0.046217635,0.008147243,0.0044691092,0.085296184,-0.087309994,0.09349699,-0.027521878,0.11856438,7.5856235E-4,-0.016239585,0.0039312197,0.0018582988,-0.009457601,-0.091415025,0.12564465,-0.0017918692,0.03494875,-0.005280039,-0.0024108181,6.045877E-4,0.0644148,-0.24043345,-0.0059279897,0.11303048,-0.010617377,0.10793403,0.021159135,0.00526865,-0.012727128,0.07259275,-0.086232685,0.25088558,0.208939,-0.009604179,-0.0056036436,-0.016709596,0.025902241,0.14361908,-0.06896276,-0.082924895,-0.0037424574,-0.009144947,4.7000055E-4,0.0028006237,0.0010116277,-0.0029926663,-0.0035965382,-4.7703873E-4,-0.090867616,6.072254E-4,0.021995597,0.0048799342,-0.23261546,0.0132463025,0.011572927,-0.009063625,0.0030011726,-0.04041779,0.008279275,0.0030651554,-0.045404162,0.023369908,0.092529394,-0.0051476676,-0.05966638,-0.0015904234,5.236799E-4,-0.0010267112,0.001020126,-0.0016384264,0.014990634,-0.13259473,0.0050864774,0.017411293,0.0012109168,0.014864578,-0.101709194,-0.0018520446,-0.105257295,-0.023078363,0.006004557,0.0029370282,0.009855878,0.0028567903,-9.502449E-4,-0.045067187,-0.011589549,0.06332755,-0.025230484,-9.5395476E-4,0.010274572,1.8103904E-4,-0.020416586,-0.017017858,-0.015742509,-0.024745567,0.004499316,4.7441572E-4,-0.021295512,1.9308196E-4,-0.0428003,0.0039109313,-0.0396004,-0.0039207228,0.0059581124,0.003651064,0.0060714795,0.0025054503,-0.0072994144,0.13529395,-0.005900474,-0.0058184,-0.24892217,0.032889813,-0.001575422,0.07889653,0.06860257,0.0018350858,-0.035059433,0.012843363,-0.008398391,0.0028010726,0.09319814,0.051798034,6.431823E-5,0.0014813733,-0.085732,0.10347284,-0.03617945,-0.01437326,0.07786003,-0.033686977,-0.019765781,-0.01089585
M|1|018|-0.008270216,0.018433608,0.0078371465,0.0073477547,-0.033916786,0.06829062,-0.08596969,-0.06997401,-0.1284513,0.018982725,-0.0037800465,-4.3633045E-4,-0.0041134986,0.0063397475,0.0022686673,-0.073781386,-0.024276977,0.002306085,6.8362664E-5,0.0070190993,-0.052967317,0.027409859,-0.2309175,0.004139889,-0.12865002,-0.005692714,-0.015922217,-0.15128565,0.06953335,0.035728518,-0.0030545092,0.024590261,0.1245628,0.0032380256,0.20838211,0.24683978,-0.16832206,-0.0110058235,0.0017745441,-0.06015186,0.0055963835,0.0032962295,0.0015097049,0.0030831045,0.009424718,0.016157947,-0.04548099,0.16773391,-0.010073118,0.05007991,0.09906857,4.5768998E-4,0.061888475,-0.0045135277,-0.16131338,-0.0067151184,0.023176549,0.0029410834,-0.03271475,0.005402547,-0.04150084,0.032987222,-0.014529732,-0.067568526,0.0052953204,0.14839579,4.985568E-4,-0.041576575,3.453555E-5,-0.008855401,-0.020861128,0.12789197,0.038271375,0.004898075,0.043230306,0.0070267874,0.0075707906,-0.0044054054,0.10405103,-0.2521416,-0.0040969546,0.013316265,0.0032739101,0.092883825,0.17174955,3.2400954E-4,-0.0120314825,0.073217764,-0.060575563,0.2056237,0.093496196,-0.00604458,-0.0075938655,3.9186692E-4,-0.21266806,-0.043889564,-0.13441367,0.13625732,-0.0030337966,-0.008487981,-9.237109E-4,-0.0057845716,-0.0062185833,3.1440484E-6,-0.008970037,0.0012163877,-0.07676525,-0.0015380068,0.024625123,-0.002518118,-0.16055831,0.004450462,-0.009868744,-0.12224272,0.0035040984,-0.055411696,0.012833819,-0.014065657,0.25343522,-0.008607238,0.08587004,0.014950279,-0.017509216,-8.303961E-4,-0.0012914654,-0.005302478,0.0011083788,0.0059610237,0.007365699,0.075275466,0.007990724,0.0078000627,0.0015084005,0.16997997,-0.03165083,0.0038533441,-0.08900992,-0.059533894,-5.4200017E-4,0.011468405,-0.013911809,0.006783493,-0.004124429,0.06497629,-0.079982325,-0.06092725,-0.0019148267,0.006943269,0.012759814,0.0013899935,-0.016976248,0.16757007,-0.0054138424,-0.013381943,-0.004566842,5.3443585E-4,-0.010485953,0.019353032,0.02515676,0.0019780896,-0.039760802,-0.0040042847,-0.0041382248,0.0020315936,-4.494225E-4,0.015206927,0.023379512,-0.10222618,0.0024135385,-0.0011137534,0.18239978,-0.09290669,0.002173494,0.022275947,0.038085423,-2.6226716E-4,0.030638568,0.015751764,-0.001170346,-0.005684629,-0.107529566,0.07454736,0.007311684,-0.005617931,-0.047386285,-0.036601815,0.099356376,-0.071435794,0.100302905,0.020730838,-0.01657137,-0.016921496
M|1|014|-0.01629661,0.022048995,0.00869038,0.0044863066,-0.03502516,0.07992587,-0.13832149,-0.013584071,-0.039984908,-0.17921767,-0.0044403556,0.0029367486,0.010071079,0.02146704,0.0016555857,-0.04987897,0.0032895508,-0.0036996515,-0.0026548896,0.006203326,0.07582372,0.020527665,-0.003861921,0.009653227,-0.09199922,0.009432416,-0.020037739,-0.07416618,-0.18920411,0.32973,0.0015539533,0.033081442,0.019313704,0.003324381,0.16912678,0.005840382,-0.022422949,-0.011829876,0.0014446221,-0.02128742,0.0047380463,0.0020765527,0.0024834576,0.003630454,-0.012154278,0.03502147,0.01660517,-0.025003146,-0.012683945,0.101078026,0.1464252,-0.002206298,-0.19311455,-0.0023032015,-0.053278282,-0.0010794903,0.060737256,4.8393128E-4,-0.028957628,0.012044301,-0.04785249,-0.04168677,-0.12597273,0.1808108,8.3909853E-4,0.04603583,0.003650055,5.893605E-4,0.00463314,4.9913157E-4,-0.022810042,-0.09803637,-0.16960977,-0.008321775,0.18162389,0.009184726,0.0067487513,0.0016010036,0.18617569,0.035683855,-0.0038090616,0.06251081,-0.0012444806,0.3167899,0.019508975,0.002847481,-0.004183777,0.076869026,0.09724266,0.088367924,0.09327648,-0.008606514,-0.004978816,-0.037243824,-0.010770216,0.15192778,-0.03849081,-0.040543787,-0.0048030587,-0.027599744,-0.005768171,0.0057519525,-0.009174394,-4.8139584E-5,-0.002183212,3.2889002E-4,-0.16425113,0.003403696,-0.004830602,3.6804815E-4,-0.0012825863,0.015112764,0.008903607,-0.11217842,0.008140874,-0.050814573,-0.01114394,-0.004182853,0.068062976,0.18351081,0.11418817,-0.0203313,-0.16912776,-0.0025270022,0.001075188,-0.0038625945,0.011817738,-0.005689644,0.0050206254,0.0028577805,0.00990977,0.025650183,-0.0037096448,0.011113379,-0.03512404,-0.0076649804,-0.15092577,-0.092351384,0.0042555677,0.010730615,-0.009122553,5.0649035E-4,-0.00362734,0.13937697,0.042113394,-0.10030696,0.0093718795,-0.007407738,0.009267894,-0.010207947,-0.018478477,-0.024166241,0.27154997,-0.013645657,0.0037039407,-0.0115717165,0.0037712322,0.0061813463,-0.016941642,-0.009868935,-0.043517005,-0.0051885485,-7.700602E-4,0.0015210095,-0.0043941955,0.0025324202,-0.0052496917,-0.0424311,-0.0017766723,0.007219932,0.112516396,-0.08491214,-0.0034853593,0.11678459,0.060379367,-0.001860065,0.039214917,-0.046724133,-0.0074845566,0.004529196,-0.07370787,0.02704413,-0.0064286566,0.0040787766,0.08270419,-0.025082143,-0.07741791,-0.02044621,0.034047123,-0.026913518,-0.028639939,-0.014124341
F|1|019|-0.0144651225,0.021364162,0.0036917706,-0.008354698,-0.028004149,0.06885544,-0.1856097,-0.15063408,0.045150004,-0.2505848,0.0029193843,-0.0010206345,0.008558719,-4.5811833E-4,0.0027225744,-0.07942416,-0.008692854,-2.1123988E-4,-3.3398555E-4,0.009016096,0.01614023,0.026869858,-0.09779918,0.0053256243,-0.07574331,2.624023E-4,-0.019319557,-0.18447554,-0.15054266,0.0909191,0.008313154,-0.051441394,0.015932547,-0.0014862268,0.17823984,0.15066388,-0.16945332,-0.005841733,-0.0022530514,-0.027602922,0.009869013,0.004199467,0.0013412496,0.0053321077,-0.0045719873,0.016588809,-0.19418736,0.043594833,-0.015350176,0.074296586,0.06801581,-1.2465518E-4,-0.0073419646,-0.002679973,-0.1710771,0.0053069643,-0.100629985,0.0033471333,-0.032314893,0.009511244,-0.039998315,0.122961774,-0.02199901,0.11497878,-0.009363336,0.23613235,0.0056682806,-0.0053053107,3.097256E-4,-0.0010344422,-0.0115828235,-0.10416203,-0.0690866,-0.008472489,-0.0106473705,0.008486316,0.004302746,8.134624E-4,0.15705517,-0.2503859,-0.0038733634,0.011914513,-8.1675575E-4,0.1097124,0.1136089,0.0023030296,-0.009489269,0.07351695,0.041737188,0.17611857,0.051720493,0.0013276542,-0.00906069,-0.012733096,0.04604138,-0.025802886,-0.08657628,0.036760632,-0.0016943873,-0.0037351064,-0.0025488161,-4.7821883E-4,-0.005342725,-6.448121E-4,-4.2333233E-4,9.667809E-4,-0.036192827,-3.8461163E-5,0.020558959,-0.006176835,0.0063397763,0.008963696,-0.0054053823,0.08304531,0.0051518884,-0.12743507,0.0065034376,0.0037569846,0.24189469,0.06171641,0.13556726,0.023836372,0.13838466,-0.0019998376,-0.0033251178,-0.004408148,0.0035620218,0.003969622,0.015347339,0.03151675,0.009814823,0.020943478,0.0030877374,0.045461807,-0.15141147,0.005265297,-0.06795805,-0.009797231,-0.0041881697,0.0026485631,-0.0013070961,0.003291732,-0.0042672176,0.010790398,0.012628709,-0.15663391,-0.010189167,-0.0027413857,0.0057535106,-0.0038448223,-0.021962848,0.17834051,-0.036741465,-0.014996409,1.945951E-4,-0.0037173056,-0.012178657,0.005617109,0.034922138,-0.0022671875,-0.023988139,9.768062E-4,-0.0034231688,0.0019281625,7.242745E-4,0.006035827,0.00853317,-0.044856586,0.0031960288,0.005008043,-0.05850011,0.092427015,-8.9539075E-4,-0.027705224,0.066696174,-3.7645132E-4,0.038176022,-0.0027411282,-0.0025976442,0.0026860728,-0.10810883,0.120513394,0.02105185,-0.0042293877,0.04413898,-0.1493428,0.0013545734,-0.010631361,0.21425383,0.03450932,-0.024424965,-0.016310062
F|1|008|-0.022024686,0.01928319,0.0011174353,0.012383093,-0.027040184,0.050912548,-0.06458305,-0.073776305,0.013712256,-0.10000112,-3.87706E-4,0.0022089356,0.010544398,0.0033508344,0.0019361578,-0.066345036,-0.017596278,-0.00812284,-0.0047222334,0.014269229,0.25741103,-0.027672656,-0.21233098,0.010518884,-0.035914887,0.0040083732,-0.02486164,-0.10493061,-0.1895904,0.124601655,0.011088991,0.10434097,-0.0985319,-0.00629681,0.22752498,0.13816255,0.06720171,0.015917115,0.0034896417,-0.26487184,0.008087529,0.0030734693,0.0069031334,-0.0028096775,-0.010726575,0.025801057,-0.08806303,0.025642976,-0.013188207,0.06797484,0.26524684,0.002114885,-0.15575077,-0.0037486788,-0.1633493,0.0063725146,-0.08137657,0.0030345097,-0.021198144,0.0073870295,-0.039556995,0.018169573,-0.024397917,0.0494597,-0.017257707,0.23499675,-3.6890683E-4,0.00626566,0.0030907344,-8.158103E-4,-0.014681416,-0.050835866,0.07119878,-0.016393237,-0.04406228,5.095637E-4,0.0034665107,-7.063466E-4,0.16570388,-0.014652797,-6.279001E-4,0.0038762805,-0.0046263966,-0.024033047,-0.015726514,0.002619053,6.3815113E-4,0.19226947,0.06722977,0.15456279,0.1155038,-0.0041055777,-0.009062958,-0.024172619,-0.047141943,-0.03525401,0.022265749,-0.082678616,-0.0023439496,-0.018564949,-0.0030998976,0.0017449833,-0.004030337,-8.162738E-4,0.0074351938,0.0035050323,-0.058858838,0.0042216103,-0.011451879,-0.0065975194,-0.07691454,0.0069096433,0.0018436431,0.1392417,0.004634056,-0.09836011,0.0031619994,-0.010384385,0.1997287,0.08006374,-0.02472214,-0.010671591,-0.19173023,0.0029211552,0.0021945015,-0.0074197194,0.0116892345,-0.004584116,0.018210787,-0.07118617,0.010505417,0.021598464,0.003903061,0.039587155,-0.043465927,0.004893605,-0.061381504,-0.04034788,0.0019786265,0.0054442063,8.452904E-4,-0.0014784348,-0.0051545114,0.071529746,0.026350712,0.04294175,-0.0066543394,-0.0067801564,0.0011975378,-5.725295E-4,-0.007968154,0.01909763,0.18077151,-0.021117005,8.314043E-4,-0.0031608662,-0.010795724,-2.0191172E-4,0.07733475,9.189913E-4,-0.033892136,-0.0010245005,-0.0021149435,0.003536974,0.0045854477,0.010373658,0.0024418384,-0.0016847234,0.002976631,-3.4312773E-4,0.0045677265,0.032246877,0.0013279566,0.04198625,0.007383715,-0.002422394,-0.00287159,0.023400731,-0.0066986782,0.009795049,-0.10918158,0.15965337,-0.002404442,7.9901045E-5,-0.043333042,0.088661954,-0.08311952,-0.065797575,0.21217394,-0.034052625,-0.014880429,-0.016987873
